Abanto,41.1338425705797,-1.6789926986
Acered,41.1643666296983,-1.6007935385
Agon,41.8495719574821,-1.4413046458
Aguaron,41.3328241632136,-1.2981200414
Aguilon,41.2919206074257,-1.0274390212
Ainzon,41.7887018358895,-1.5237730441
Aladren,41.243027976388,-1.15486541350
Alagon,41.7686502449122,-1.1242017577
Alarba,41.2058416327095,-1.6123647786
Alberite-de-San-Juan,41.8088361715289,-1.4608413446
Albeta,41.8250795211808,-1.5020666710
Alborge,41.3395122154661,-0.3535113866
Alcala-de-Ebro,41.8157234598174,-1.1858939652
Alcala-de-Moncayo,41.798228640815,-1.68579733991
Alconchel-de-Ariza,41.2176015120371,-2.0907493711
Aldehuela-de-Liestos,41.0576697074414,-1.7173244551
Alfajarin,41.6230980456998,-0.6756698875
Alfamen,41.4610964150639,-1.2136428893
Alforque,41.3485593952754,-0.3872430559
Alhama-de-Aragon,41.2951005219693,-1.9001257962
Almochuel,41.3033351630149,-0.5645450358
Almolda-La,41.5442564359566,-0.2386813042
Almonacid-de-la-Cuba,41.2770564832053,-0.7865382189
Almonacid-de-la-Sierra,41.411386041644,-1.32845834225
Almunia-de-Dona-Godina-La,41.4774271853131,-1.3740485595
Alpartir,41.3993254621035,-1.3750138602
Ambel,41.7691868620215,-1.6227778880
Anento,41.0679161503178,-1.3309550886
Aninon,41.4677810909345,-1.7050418683
Anon-de-Moncayo,41.7659538977353,-1.7472472230
Aranda-de-Moncayo,41.5980238780617,-1.7884711766
Arandiga,41.514229481645,-1.49956301572
Ardisa,42.1913759125356,-0.7831551795
Ariza,41.3104713446459,-2.0397011608
Artieda,42.5924043126498,-0.9926625128
Asin,42.2712536015741,-1.0531419943
Atea,41.1509557797967,-1.5535404131
Ateca,41.3441754193672,-1.8058424730
Azuara,41.2181020016308,-0.8776687566
Badules,41.1668617425759,-1.2326318890
Bagues,41.6563497, -0.8765662
Balconchan,41.0729654829868,-1.4911925287
Barboles,41.7240767734505,-1.1728642920
Bardallur,41.6886793987971,-1.1989354444
Belchite,41.3350137845355,-0.6888461409
Belmonte-de-Gracian,41.3295248962201,-1.4931185899
Berdejo,41.5736577125393,-1.9483123472
Berrueco,40.9805376640724,-1.4764194466
Biel,42.3646161331123,-0.9089406092
Bijuesca,41.5395000582048,-1.9101641273
Biota,42.2543967452647,-1.1672619855
Bisimbre,41.8581680151604,-1.4230628457
Boquineni,41.8438048358932,-1.2659269679
Bordalba,41.4063476365827,-2.0764856110
Borja,41.8358287325403,-1.5536876632
Botorrita,41.4832636391198,-1.0275880304
Brea-de-Aragon,41.5254968255755,-1.5965049266
Bubierca,41.3227777983068,-1.8731905553
Bujaraloz,41.4522980855555,-0.1430399399
Bulbuente,41.8284713324875,-1.6170234175
Bureta,41.8024185691011,-1.4899266230
Burgo-de-Ebro-El,41.569131590179,-0.72328944736
Buste-El,41.8950132029709,-1.5958430967
Cabanas-de-Ebro,41.7969758268756,-1.1685747194
Cabolafuente,41.2186879792679,-2.0407507639
Cadrete,41.5491871111731,-0.9540774403
Calatayud,41.3875729229218,-1.6238976708
Calatorao,41.5280185405448,-1.3116027981
Calcena,41.6691157427085,-1.7254610299
Calmarza,41.1744136444811,-1.9270281053
Campillo-de-Aragon,41.1329000585542,-1.8382033789
Carenas,41.2628788108352,-1.7985670698
Carinena,41.3513547679132,-1.2122021509
Caspe,41.2691857168869,-0.0225231971
Castejon-de-Alarba,41.1841693044516,-1.6450394755
Castejon-de-las-Armas,41.2983432309204,-1.8208002281
Castejon-de-Valdejasa,41.9939634407215,-0.9988604972
Castiliscar,42.3616736926581,-1.2801312857
Cervera-de-la-Canada,41.4229694984706,-1.7445706584
Cerveruela,41.2234076117927,-1.2117578473
Cetina,41.2636177246688,-1.9597088291
Chiprana,41.2662975199946,-0.1564935395
Chodes,41.486607525847,-1.48019134088
Cimballa,41.089580592851,-1.76401486290
Cinco-Olivas,41.3389593509283,-0.3680316321
Clares-de-Ribota,41.5341624681111,-1.8374324311
Codo,41.343769740167,-0.67437300621
Codos,41.285222389301,-1.35798178765
Contamina,41.2613196638865,-1.9299114287
Cosuenda,41.3619356326621,-1.3115883903
Cuarte-de-Huerva,41.5925870746464,-0.9265152867
Cubel,41.0986422630328,-1.6214239031
Cuerlas-Las,40.9628560719523,-1.5611665225
Daroca,41.1145775031826,-1.4143624632
Ejea-de-los-Caballeros,42.1596764009409,-1.1537082712
Embid-de-Ariza,41.3843941781988,-1.9536251664
Encinacorba,41.2858561254725,-1.2757428982
epila,41.5909965420507,-1.3324142322
Erla,42.1115235524166,-0.9845811869
Escatron,41.2673958017179,-0.2838910178
Fabara,41.2017794723066,0.16673267780
Farlete,41.6955111366057,-0.5276412523
Fayon,41.2653569647907,0.31858635632
Fayos-Los,41.876367637684,-1.80006274299
Figueruelas,41.7693026091072,-1.1842005577
Fombuena,41.1707918203769,-1.1896539610
Frago-El,42.2825564247358,-0.9321278263
Frasno-El,41.4112978120375,-1.5019079467
Frescano,41.8790736825362,-1.4561385359
Fuendejalon,41.7329346752739,-1.4552591321
Fuendetodos,41.3601487969179,-0.9188533245
Fuentes-de-Ebro,41.49251409668,-0.628864975080
Fuentes-de-Jiloca,41.2232375215586,-1.5482483554
Gallocanta,40.9939752206512,-1.5248938494
Gallur,41.8672090325166,-1.3153352621
Gelsa,41.4287051780836,-0.3937046932
Godojos,41.2640624479453,-1.8732736727
Gotor,41.5511534867692,-1.6554453615
Grisel,41.870967445592,-1.71745218169
Grisen,41.7445938683723,-1.1595505922
